Region,Total,Males,Females
Abai Region,610189,298770,311419
Akmola Region,787971,385124,402847
Aktobe Region,928185,455105,473080
Almaty Region,1505984,752422,753562
Atyrau Region,693040,342146,350894
West Kazakhstan Region,688091,336329,351762
Jambyl Region,1217955,604247,613708
Jetisu Region,698675,345356,353319
Karaganda Region,1134753,542936,591817
Kostanay Region,832110,402216,429894
Kyzylorda Region,833531,418288,415243
Mangystau Region,766956,381312,385644
Pavlodar Region,754903,362521,392382
North Kazakhstan Region,534024,257956,276068
Turkistan Region,2119063,1078994,1040069
Ulytau Region,221395,108423,112972
East Kazakhstan Region,730172,349479,380693
Astana city,1354435,645698,708737
Almaty city,2161695,1003872,1157823
Shymkent city,1191877,575528,616349
The Republic of Kazakhstan,19765004,9646722,10118282
