Регионы,Потребительские_расходы,Продовольственные_товары,Непродовольственные_товары,Платные_услуги,Материальная_помощь_родственникам_и_знакомым_алименты,Налоги_платежи_и_другие_выплаты,Погашение_кредита_и_долга,Доход_от_трудовой_деятельности,Доход_от_работы_по_найму,Доход_от_самостоятельной_занятости_и_предпринимательства,Пенсии,Пособия,АСП_и_жилищная_помощь,Стипендия,Матеральная_помощь_от_родственников_и_знакомых_алименты,Доходы_от_собственности,Прочие_доходы,Доля_безработицы_на_населения
Абай,713656,391954,187423,134279,6477,1723,36699,618783,553182,65601,236623,37258,85,13897,41768,0,13625,0.0247087377845225
Акмолинская,836336,451260,255332,129744,21942,1445,90870,702898,622643,80255,218966,35118,446,4897,28669,7095,16735,0.026681184967467
Актюбинская,784125,438243,204345,141537,16054,983,96492,755667,683512,72155,132585,39513,233,5859,20484,166,11680,0.023146247784655
Алматинская,876066,550131,195151,130784,5459,1340,37263,606420,503544,102876,156184,25585,492,3284,5700,371,10306,0.0226622593599932
Атырауская,728943,439404,174135,115404,31343,601,52203,687108,646147,40961,134927,33011,0,1463,4953,1496,9813,0.0239654276809419
Западно-Казахстанская,693455,428770,149274,115411,6122,1120,63072,707213,628268,78945,173427,33397,177,8391,16773,2851,8682,0.0252553804656651
Жамбылская,709690,434168,172338,103184,7009,806,21488,558861,463768,95093,123167,38474,1425,1437,5678,367,10694,0.0231289333349754
Жетісу,847755,523729,192508,131518,18743,1175,43419,546192,464243,81949,182492,28876,264,3185,21825,1023,11592,0.0245579131928292
Карагандинская,1034928,500209,330151,204568,49861,2275,130497,946373,861847,84526,193329,56266,432,9478,69629,9581,14106,0.0218338263921752
Костанайская,822289,420204,242413,159672,29927,2031,53708,803137,719554,83583,244360,27689,1476,5124,38725,5168,16565,0.0278629027412241
Кызылординская,677186,376207,185726,115253,18518,909,69107,573693,500621,73072,134430,56507,1014,9141,13011,650,8741,0.0204287542994801
Мангистауская,806777,474179,191086,141512,3178,408,1052,815424,768643,46781,89003,62956,272,3205,11511,1573,10714,0.0231382243570687
Павлодарская,940126,525810,263288,151028,21362,1375,63431,812853,734002,78851,152552,33212,360,4697,26854,7417,12821,0.0254151857920818
Северо-Казахстанская,954466,477436,324801,152229,40811,1932,69584,701300,622423,78877,276238,36090,0,4677,38689,8343,16642,0.026682321393795
Туркестанская,648111,402949,157032,88130,8620,1044,18430,462047,298897,163150,93459,44563,966,4026,3540,320,7749,0.0203160547845911
Ұлытау,857490,477737,241944,137809,40571,849,164455,946143,900586,45557,176635,56391,0,3389,37759,4878,12793,0.020280494139434
Восточно-Казахстанская,1062980,595872,290581,176527,35200,1968,68792,786786,741378,45408,339328,28970,31,3905,25762,1972,17196,0.0248352442986036
г. Астана,1008421,502461,242797,263163,15752,2546,85344,1027817,932979,94838,197404,32182,1892,4097,55171,9662,15460,0.0221036816089365
г. Алматы,1235840,620173,322939,292728,9293,2291,22627,824769,767309,57460,268163,17212,51,5685,19635,12014,17573,0.0245339883748632
г. Шымкент,680646,352594,200790,127262,5179,1716,6944,508090,372741,135349,129059,30350,1123,921,3392,1242,11939,0.0188131829039405
