Регионы,Всего,Доход_от_трудовой_деятельности,Доход_от_работы_по_найму,Доход_от_самостоятельной_занятости_и_предпринимательства,Пенсии,Пособия,ФСП_и_жилищная_помощь,Стипендия,Матеральная_помощь_от_родственников_и_знакомых_алименты,Доходы_от_собсвтеенности,Прочие_доходы
Абай,962039,618783,553182,65601,236623,37258,85,13897,41768,...,13625
Акмолинская,1014824,702898,622643,80255,218966,35118,446,4897,28669,7095,16735
Актюбинская,966187,755667,683512,72155,132585,39513,233,5859,20484,166,11680
Алматинская,808342,606420,503544,102876,156184,25585,492,3284,5700,371,10306
Атырауская,872771,687108,646147,40961,134927,33011,0,1463,4953,1496,9813
Западно-Казахстанская,950911,707213,628268,78945,173427,33397,177,8391,16773,2851,8682
Жамбылская,740103,558861,463768,95093,123167,38474,1425,1437,5678,367,10694
Жетісу,795449,546192,464243,81949,182492,28876,264,3185,21825,1023,11592
Карагандинская,1299194,946373,861847,84526,193329,56266,432,9478,69629,9581,14106
Костанайская,1142244,803137,719554,83583,244360,27689,1476,5124,38725,5168,16565
Кызылординская,797187,573693,500621,73072,134430,56507,1014,9141,13011,650,8741
Мангистауская,994658,815424,768643,46781,89003,62956,272,3205,11511,1573,10714
Павлодарская,1050766,812853,734002,78851,152552,33212,360,4697,26854,7417,12821
Северо-Казахстанская,1081979,701300,622423,78877,276238,36090,0,4677,38689,8343,16642
Туркестанская,616670,462047,298897,163150,93459,44563,966,4026,3540,320,7749
Ұлытау,1237988,946143,900586,45557,176635,56391,0,3389,37759,4878,12793
Восточно-Казахстанская,1203950,786786,741378,45408,339328,28970,31,3905,25762,1972,17196
г. Астана,1343685,1027817,932979,94838,197404,32182,1892,4097,55171,9662,15460
г. Алматы,1165102,824769,767309,57460,268163,17212,51,5685,19635,12014,17573
г. Шымкент,686116,508090,372741,135349,129059,30350,1123,921,3392,1242,11939
