Регионы,Рейтинг
Костанайская,10.361798918475102
Абай,10.182566548026589
г. Астана,9.849564793818608
Западно-Казахстанская,9.599291858385733
Акмолинская,9.551522352123888
Мангистауская,9.549644288209779
Жамбылская,9.106093077682248
Кызылординская,9.01577169228727
Туркестанская,8.809035649093449
Павлодарская,8.613118372599786
Карагандинская,8.592694906568374
Северо-Казахстанская,8.48574584213114
Актюбинская,8.45111415600044
г. Шымкент,8.318834705906639
Ұлытау,8.253020405824893
Атырауская,7.704211689280643
Жетісу,7.695035632323003
Алматинская,7.434937543871821
г. Алматы,7.39816540008888
Восточно-Казахстанская,7.282013708332415
